case_id,sample_type,label,target_file,reference_file,target_source,reference_source,domain,target_chars,reference_chars,target_sentences,reference_sentences,notes
C001,direct_copy,1,samples/targets/C001_target.txt,samples/references/C001_ref.txt,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,1072,1072,13,13,目标文本与参考文本使用同一来源片段，模拟直接复制。
C002,direct_copy,1,samples/targets/C002_target.txt,samples/references/C002_ref.txt,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,computer_vision,1013,1013,15,15,目标文本与参考文本使用同一来源片段，模拟直接复制。
C003,direct_copy,1,samples/targets/C003_target.txt,samples/references/C003_ref.txt,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,agri_logistics,1182,1182,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C004,direct_copy,1,samples/targets/C004_target.txt,samples/references/C004_ref.txt,个人数字遗产继承的法律保护研究_李苗苗.pdf,个人数字遗产继承的法律保护研究_李苗苗.pdf,law,1111,1111,20,20,目标文本与参考文本使用同一来源片段，模拟直接复制。
C005,direct_copy,1,samples/targets/C005_target.txt,samples/references/C005_ref.txt,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,1028,1028,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C006,direct_copy,1,samples/targets/C006_target.txt,samples/references/C006_ref.txt,ESG表现对企业避税的影响研究_常林.pdf,ESG表现对企业避税的影响研究_常林.pdf,finance_management,1228,1228,9,9,目标文本与参考文本使用同一来源片段，模拟直接复制。
C007,direct_copy,1,samples/targets/C007_target.txt,samples/references/C007_ref.txt,基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,medical_material,934,934,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C008,direct_copy,1,samples/targets/C008_target.txt,samples/references/C008_ref.txt,基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,medical_material,1023,1023,17,17,目标文本与参考文本使用同一来源片段，模拟直接复制。
C009,light_rewrite,1,samples/targets/C009_target.txt,samples/references/C009_ref.txt,深度学习框架下系统查重的研究与应用_雷子旺.pdf (rewritten),深度学习框架下系统查重的研究与应用_雷子旺.pdf,text_similarity,1070,1056,18,18,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C010,light_rewrite,1,samples/targets/C010_target.txt,samples/references/C010_ref.txt,基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf (rewritten),基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf,text_similarity,1015,992,16,16,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
